post,tags
iphone uipickerview issue  friends  i have problem in horizontal uipickerview. can some one help me to short this problem out   actually i got the horizontal picker view but i have problem with data array inside picker view is not clear its visibility is not good i show you picture what exactly i want sorry i cant add so please help me out.     <img src= https://i.stack.imgur.com/dsqrs.png  alt= enter image description here > this is my code:   <pre><code>- (uiview *)pickerview:(uipickerview *)pickerview viewforrow:(nsinteger)row forcomponent:(nsinteger)component reusingview:(uiview *)view{          cgrect rect = cgrectmake(0  0  180  30);     uilabel *label = [[uilabel alloc]initwithframe:rect];         cgaffinetransform rotate = cgaffinetransformmakerotation(3.14/2);         rotate = cgaffinetransformscale(rotate  2.0  2.0);         [label settransform:rotate];         label.text = [pickerarray objectatindex:row];          label.textalignment = uitextalignmentcenter;         label.numberoflines = 2;         label.font = [uifont fontwithname:@ verdana-bold  size:22];         label.linebreakmode = uilinebreakmodewordwrap;         label.backgroundcolor = [uicolor clearcolor];         label.clipstobounds = yes;         return label ; } </code></pre>,iphone
html form check value with text  i have simple question  let s say i have input like this:   <pre><code>&lt;input name= somename  type= checkbox  value= 1  /&gt; </code></pre>   is it possible to change <code>value= 1 </code> to <code>value= some text </code> or <code>value= some_name </code>. what i mean is it possible to use symbols instead of numbers,html
using intent to use the camera inside app  but still crash  i need your help. i follow the instructions to use the camera inside the app on android developer  but my app crash. i can t even open the camera.    this is my code (the method <em> gotocamera </em> is called by <em>android:name= onclick </em> in my activity.xml  so it takes in input a view object):   <pre><code>public class postactivity extends appcompatactivity {  static final int request_image_capture = 123; public static final int request_take_photo = 1; imageview mimageview;  string mcurrentphotopath;  @override protected void oncreate(bundle savedinstancestate) {     super.oncreate(savedinstancestate);     setcontentview(r.layout.activity_post);     toolbar mytoolbar = (toolbar) findviewbyid(r.id.my_toolbar);     setsupportactionbar(mytoolbar); }  protected void gotohome(view view) {     finish(); }  protected void gotocamera(view v) {     intent cameraintent = new intent(android.provider.mediastore.action_image_capture);     startactivityforresult(cameraintent  request_image_capture); } } </code></pre>   i already add this to my manifest:   <pre><code>&lt;uses-permission android:name= android.permission.camera  /&gt; &lt;uses-permission android:name= android.permission.write_external_storage  /&gt; &lt;uses-feature android:name= android.hardware.camera  android:required= true  /&gt; </code></pre>   i already try to use this:   <pre><code>intent takepictureintent = new intent(mediastore.action_image_capture); if (takepictureintent.resolveactivity(getpackagemanager()) != null) {     startactivityforresult(takepictureintent  request_image_capture); } </code></pre>   but it doesn t work. the app continue to crash.    thank you so much.,android
two same variables with different values in if and else statement  should i just change <strong>payback</strong> and <strong>payback</strong> to <strong>payback1</strong> and <strong>payback2</strong>   or is there better way to do it    <pre><code>function play() {     var bet = document.getelementbyid( bet ).value;     var pips = math.round((math.random()*5)+1);      if(pips == 1|| pips == 3 || pips == 5){       document.getelementbyid( answer ).innerhtml =  no pay ;     }     else if(pips == 2|| pips == 4) {       var payback = 1.25*bet;       document.getelementbyid( answer ).innerhtml =  you ll receive:  +payback;      }     else {       var payback = 1.50*bet;       document.getelementbyid( answer ).innerhtml =  you ll receive:  +payback;     } } </code></pre>   <strong><em>line 15:  payback  is already defined.</em></strong>     i seriously tried coming up with a sensible title...,javascript
jquery detect scroll at bottom  i wish to achieve content load when the user scrolls to the bottom of the page.     i am having a problem. it works fine on desktop browsers but not on mobile. i have implemented a dirty fix to make it work on the iphone  but is not optimal as it won t work on other sized mobile devices.    my website is www.cristianrgreco.com  scroll down to see the effect in action    the problem is adding the scroll and the height do not equal the height on mobile devices  whereas they do on desktop browsers.     is there a way to detect for mobile browsers     thanks in advance.     below is the code currently being used:   <pre><code>$(document).ready(function () {         $( .main ).hide().filter( :lt(3) ).show();         if ($(document).height() == $(window).height()) {             // populate screen with content         }         else if (navigator.useragent.match(/android/i) || navigator.useragent.match(/webos/i) || navigator.useragent.match(/iphone/i) || navigator.useragent.match(/ipod/i)) {             window.onscroll = function () {                 if ($(document).height() - $(window).scrolltop() &lt;= 1278) {                     // at the moment only works on iphone                 }             }         }         else {             $(window).scroll(function () {                 if ($(window).scrolltop() + $(window).height() &gt;= $(document).height()) {                                          // works perfect for desktop browsers                 }             })         } }) </code></pre>,jquery
accessing a static array in class by using overloaded operator ()  i m new here so i hope i will write understandable question.    my problem is  how to access a static array in class by using overloaded operator ().    main.cpp:   <pre><code>class someclass { public:     static const int a[2][2];      const int&amp; operator() (int x  int y) const; }; </code></pre>   just under it  i define the array a:   <pre><code>const int someclass::a[2][2] = {{ 1  2 }  { 3  4 }}; </code></pre>   here is the overloaded operator:   <pre><code>const int&amp; someclass::operator() (int x  int y) const {     return a[x][y]; } </code></pre>   in main()  i want to access  a  2d array just by using <code>someclass(1  1)</code> which shloudl return 4. but when i try to compile main like this:   <pre><code>int main(void) {     cout &lt;&lt; someclass(1  1) &lt;&lt; endl;      return 0; } </code></pre>   i get this error:   <pre><code>pretizenioperatoru.cpp: in function ‘int main()’: pretizenioperatoru.cpp:22:22: error: no matching function for call to ‘tabulka::tabulka(int  int)’ pretizenioperatoru.cpp:22:22: note: candidates are: pretizenioperatoru.cpp:5:7: note: someclass::someclass() pretizenioperatoru.cpp:5:7: note:   candidate expects 0 arguments  2 provided pretizenioperatoru.cpp:5:7: note: someclass::someclass(const someclass&amp;) pretizenioperatoru.cpp:5:7: note:   candidate expects 1 argument  2 provided </code></pre>   i realised i don t know  where is the problem. it seems that there is called a constructor of the class. it seems that i m constructing the class instead of accessing the array.    what does it mean  is there any way to do the array like this or it would be better to break rules of encapsulation and define it as global  does it mean  that overloaded operators cannot be used to access static arrays     when i do it this way  it compiles ok:   <pre><code>int main(void) {     someclass class;     cout &lt;&lt; class(1  1) &lt;&lt; endl;      return 0; } </code></pre>   thanks for response and hope my problem makes sense. i didn t use [] operator for accessing  because it is more hard to implement than ( ).,c++
getting primary key records which is not associate with any foreign key  i have the following two tables  affiliates and referrers.    affiliates table   <pre><code>id    loginid     3     cr0007 2     cr5604 4     vrtc0008 </code></pre>   referrers table   <pre><code>id    affiliates_id    loginid     3     2                mlt29710 4     3                mx0001 </code></pre>   if i want to know  an affiliate is associated with whom referrer(s)  i can simply use the following query :   <pre><code>select affiliates.loginid affiliates_loginid  referrers.loginid referrers_loginid from affiliates  referrers where affiliates.id = referrers.affiliates_id </code></pre>   result table   <pre><code>affiliates_loginid    referrers_loginid     cr5604                mlt29710 cr0007                mx0001 </code></pre>   what if  i want to know  <strong>which affiliate is not associated with any referrer.</strong> what is the single sql statement i could use  changing the where clause to  <em>affiliates.id != referrers.affiliates_id</em> of course won t work.    my expected result is vrtc0008  as this affiliate is not associated with any referrers.,sql
trying to get the command window to not go away  i am very new to c#. so please help me with this doubt.      when i run this code  the screen will pause and wait for an input.   <pre><code>    namespace helloworld1     {         class program         {             static void main(string[] args)             {                 //int x=2;                 console.writeline( hello world! enter an int. );                 console.read();                /* x=console.read();                 console.writeline( you ve entered:   + x +   . );                 console.readline();                 */             }         }     } </code></pre>   but when i change the code to below  it the screen no longer pause... :   <pre><code>namespace helloworld1 {     class program     {         static void main(string[] args)         {             int x=2;             console.writeline( hello world! enter an int. );             //console.read();             x=console.read();             console.writeline( you ve entered:   + x +   . );             console.read();         }     } } </code></pre>   why is this happening       edit:    latest code (still doesn t pause screen):   <pre><code>namespace helloworld1 {     class program     {         static void main(string[] args)         {             int x=2;             console.writeline( hello world! enter an int. );             x=console.read();             console.writeline( you ve entered:   + x +   . );             console.readline();         }     } } </code></pre>,c#
android launching music player using intent  is it possible to open the music app from my app in android  or is it best to write a whole new music app inside of mine. i would rather use theirs since the user will already be comfortable with it.,android
value is a floating point number python 3  this is a python challenge in my computing class. my teacher can t figure out the answer and i m the furthest in the class so no one else knows what to do. i ve tried everything i can think of.   <pre><code>write a program that checks that the value entered is a floating point number. check the program works by entering an integer to see if an error is raised.  if a float is entered it should output the number. </code></pre>   this has to be done in python 3.4.3   <pre><code>num=input( enter a number ) if num = float:   print( this is a float ) else:   print( this is not a float ) </code></pre>   i can t figure out how to make it so the input is isn t instantly set to a float.,python
