post,tags
html form check value with text  i have simple question  let s say i have input like this:   <pre><code>&lt;input name= somename  type= checkbox  value= 1  /&gt; </code></pre>   is it possible to change <code>value= 1 </code> to <code>value= some text </code> or <code>value= some_name </code>. what i mean is it possible to use symbols instead of numbers,html
two same variables with different values in if and else statement  should i just change <strong>payback</strong> and <strong>payback</strong> to <strong>payback1</strong> and <strong>payback2</strong>   or is there better way to do it    <pre><code>function play() {     var bet = document.getelementbyid( bet ).value;     var pips = math.round((math.random()*5)+1);      if(pips == 1|| pips == 3 || pips == 5){       document.getelementbyid( answer ).innerhtml =  no pay ;     }     else if(pips == 2|| pips == 4) {       var payback = 1.25*bet;       document.getelementbyid( answer ).innerhtml =  you ll receive:  +payback;      }     else {       var payback = 1.50*bet;       document.getelementbyid( answer ).innerhtml =  you ll receive:  +payback;     } } </code></pre>   <strong><em>line 15:  payback  is already defined.</em></strong>     i seriously tried coming up with a sensible title...,javascript
jquery detect scroll at bottom  i wish to achieve content load when the user scrolls to the bottom of the page.     i am having a problem. it works fine on desktop browsers but not on mobile. i have implemented a dirty fix to make it work on the iphone  but is not optimal as it won t work on other sized mobile devices.    my website is www.cristianrgreco.com  scroll down to see the effect in action    the problem is adding the scroll and the height do not equal the height on mobile devices  whereas they do on desktop browsers.     is there a way to detect for mobile browsers     thanks in advance.     below is the code currently being used:   <pre><code>$(document).ready(function () {         $( .main ).hide().filter( :lt(3) ).show();         if ($(document).height() == $(window).height()) {             // populate screen with content         }         else if (navigator.useragent.match(/android/i) || navigator.useragent.match(/webos/i) || navigator.useragent.match(/iphone/i) || navigator.useragent.match(/ipod/i)) {             window.onscroll = function () {                 if ($(document).height() - $(window).scrolltop() &lt;= 1278) {                     // at the moment only works on iphone                 }             }         }         else {             $(window).scroll(function () {                 if ($(window).scrolltop() + $(window).height() &gt;= $(document).height()) {                                          // works perfect for desktop browsers                 }             })         } }) </code></pre>,jquery
accessing a static array in class by using overloaded operator ()  i m new here so i hope i will write understandable question.    my problem is  how to access a static array in class by using overloaded operator ().    main.cpp:   <pre><code>class someclass { public:     static const int a[2][2];      const int&amp; operator() (int x  int y) const; }; </code></pre>   just under it  i define the array a:   <pre><code>const int someclass::a[2][2] = {{ 1  2 }  { 3  4 }}; </code></pre>   here is the overloaded operator:   <pre><code>const int&amp; someclass::operator() (int x  int y) const {     return a[x][y]; } </code></pre>   in main()  i want to access  a  2d array just by using <code>someclass(1  1)</code> which shloudl return 4. but when i try to compile main like this:   <pre><code>int main(void) {     cout &lt;&lt; someclass(1  1) &lt;&lt; endl;      return 0; } </code></pre>   i get this error:   <pre><code>pretizenioperatoru.cpp: in function ‘int main()’: pretizenioperatoru.cpp:22:22: error: no matching function for call to ‘tabulka::tabulka(int  int)’ pretizenioperatoru.cpp:22:22: note: candidates are: pretizenioperatoru.cpp:5:7: note: someclass::someclass() pretizenioperatoru.cpp:5:7: note:   candidate expects 0 arguments  2 provided pretizenioperatoru.cpp:5:7: note: someclass::someclass(const someclass&amp;) pretizenioperatoru.cpp:5:7: note:   candidate expects 1 argument  2 provided </code></pre>   i realised i don t know  where is the problem. it seems that there is called a constructor of the class. it seems that i m constructing the class instead of accessing the array.    what does it mean  is there any way to do the array like this or it would be better to break rules of encapsulation and define it as global  does it mean  that overloaded operators cannot be used to access static arrays     when i do it this way  it compiles ok:   <pre><code>int main(void) {     someclass class;     cout &lt;&lt; class(1  1) &lt;&lt; endl;      return 0; } </code></pre>   thanks for response and hope my problem makes sense. i didn t use [] operator for accessing  because it is more hard to implement than ( ).,c++
getting primary key records which is not associate with any foreign key  i have the following two tables  affiliates and referrers.    affiliates table   <pre><code>id    loginid     3     cr0007 2     cr5604 4     vrtc0008 </code></pre>   referrers table   <pre><code>id    affiliates_id    loginid     3     2                mlt29710 4     3                mx0001 </code></pre>   if i want to know  an affiliate is associated with whom referrer(s)  i can simply use the following query :   <pre><code>select affiliates.loginid affiliates_loginid  referrers.loginid referrers_loginid from affiliates  referrers where affiliates.id = referrers.affiliates_id </code></pre>   result table   <pre><code>affiliates_loginid    referrers_loginid     cr5604                mlt29710 cr0007                mx0001 </code></pre>   what if  i want to know  <strong>which affiliate is not associated with any referrer.</strong> what is the single sql statement i could use  changing the where clause to  <em>affiliates.id != referrers.affiliates_id</em> of course won t work.    my expected result is vrtc0008  as this affiliate is not associated with any referrers.,sql
value is a floating point number python 3  this is a python challenge in my computing class. my teacher can t figure out the answer and i m the furthest in the class so no one else knows what to do. i ve tried everything i can think of.   <pre><code>write a program that checks that the value entered is a floating point number. check the program works by entering an integer to see if an error is raised.  if a float is entered it should output the number. </code></pre>   this has to be done in python 3.4.3   <pre><code>num=input( enter a number ) if num = float:   print( this is a float ) else:   print( this is not a float ) </code></pre>   i can t figure out how to make it so the input is isn t instantly set to a float.,python
printing a character when no other output was printed  how do i print a particular character when up to that point in my code  no condition has been satisfied  example :  if i have an array of 100 numbers and if i traverse the array by  for  loop and do not find my number  how do i print a single line   not found        i am using c++.,c++
can we store alphanumeric values in int data type  can alphanumeric values be stored in an int data type or do we need a char to store it,c
why exectuing function doesnt work   i have an input  which when im clicking - i want to see alert with  1 2 3 4...  (each press)   <pre><code>&lt;input type= button  value= press  onclick= clicked();   /&gt;   &lt;script&gt;   var t     function clicked()       {         t=func;         t();       }          function func()       {         var count=0;          return new  function ()   // &lt;===  new or not new               {           count++;           alert(count);           }       }  &lt;/script&gt;        if im adding the  new  in the return and click   it says :  1 1 1 1 ...  </code></pre>   if im removing the  new  it doesnt work...    my goal is to use this to get :  1 2 3 4...     can someone explain to me what happens,javascript
write a program (or algorithm) in python which breaks up a string of texts into even and odd characters <pre><code>def breakstring(str):     i = 0     even = []     odd = []     for char in str         if (i%2==0)             even.push(char)         else             odd.push(char) </code></pre>   for some reason  this is not running in my python.,python
html meta charset not working  at the beginning of my page  i have the following code:   <pre><code>&lt;html&gt; &lt;head&gt; &lt;meta charset= utf-8 &gt; &lt;title&gt;  //other </code></pre>   i used the <code>meta</code> because i have to put in my website some japanese characters. here you can see an example:   <pre><code>&lt;tr&gt; &lt;td&gt;&lt;label class= blacktd  onmouseover= apriimg( imgbox    4 ); &gt; shy guy bazaar &lt;/label&gt;&lt;/td&gt; &lt;td&gt;&lt;a href= http://www.youtube.com/watch v=kpmkzicd7fc &gt;2 03 007&lt;/a&gt;&lt;/td&gt; &lt;td&gt;そうめん&lt;/td&gt; //look at here &lt;td&gt;&lt;img src= http://mk7vrlist.altervista.org/flags/jp.gif  /&gt;&lt;/td&gt; &lt;td&gt;2013/06/30&lt;/td&gt; &lt;/tr&gt; </code></pre>   i googled this and i saw that i simply need to put that  tag with the <code>charset</code> attribute. by the way my webpage shows <code>%u305d%u3046%u3081%u3093</code> instead of  そうめん . do you know why,html
download file to website using php  i have a file with url !   <pre><code>$url =  http://www.example.com/aa.txt ; </code></pre>   and i want to download this file and save it to path on my website    this is my website ( online )   <pre><code>$path =  server/username/ ; </code></pre>   i want the <code>$url</code> file saved to <code>$path</code>       i try this        <pre><code>if (file_exists($file)) {     header( content-description: file transfer );     header( content-type: application/octet-stream );     header( content-disposition: attachment; filename= .basename($file));     header( expires: 0 );     header( cache-control: must-revalidate );     header( pragma: public );     header( content-length:   . filesize($file));     readfile($file);     exit; }  &gt; </code></pre>   when i test the code   it make the file download to my computer not to my website,php
sql update table from another table  using sql in access  trying to  update  a table  with the user name  from another table. the 3rd line below (sqlnm2...) says error-2465 cant find field  | . i ve tried changing the expression many ways but no success. any assistance would be greatly appreciated.   <pre><code>dim sqlnm as string   dim sqlnm2 as string   sqlnm2 = sqlnm2 &amp;        &amp; [employees]![nbk] &amp;   );    sqlnm =   update tbl_datetracking set nbk =     sqlnm = sqlnm &amp;     &amp; sqlnm2 &amp;    where     sqlnm = sqlnm &amp;  caseid =    &amp; caseid &amp;    and occ_scenario =    &amp; occ_scenario &amp;   ;    docmd.runsql sqlnm  </code></pre>,sql
send path to application with shell context menu  i like to send an path to my application with shell context menu.    i use the following shell context menu which send this command prompt  c:\loger.exe /clog which runs the app only to my app. how to send the selected path instead of only running the app.     ps im using .net2     thank you     c:\loger.exe /clog    <img src= https://i.stack.imgur.com/gyls8.jpg  alt= alt text >,.net
previewing html code in an html page  i want to preview some html code in an html page. but when i do this  the browser treats it as a actual html  instead of just previewing it (including its tags for example). how can i prevent this from happening <br/> you may think of this page as a tutorial to html that wants to present some html examples to the learners.,html
how to write an image on disk from blob   i am tring to create an image file from database on disk. i wrote the following code:   <pre><code>{     oracle.sql.blob blob1 = (blob) rs.getblob(1);      //fillfilepath is file path      file blobfile   = new file(fillfilepath);     string checkexe[]=fillfilepath.split( \\. );      fileoutputstream  outstream  = new fileoutputstream(blobfile);      inputstream instream   = blob1.getbinarystream();       int length  = -1;      int size    = blob1.getbuffersize();      byte[]  buffer  = new byte[size];       bufferedimage image = imageio.read( instream );     system.out.println( inside image upload );      system.out.println( inside image jpg );     imageio.write(image   jpg   outstream); </code></pre>   but it is not working.     please give me any suggestions,java
